着空港,合計,稚内,釧路,函館,旭川,利尻,帯広,中標津,紋別,女満別,奥尻,新千歳,丘珠,青森,三沢,花巻,仙台,秋田,大館,山形,庄内,福島,成田,羽田,大島,三宅島,八丈島,調布,新島,神津島,青ヶ島,御蔵島,利島,新潟,富山,小松,能登,松本,静岡,中部,大阪,関西,神戸,但馬,南紀白浜,鳥取,美保,隠岐,出雲,石見,岡山,広島,山口宇部,岩国,徳島,高松,松山,高知,福岡,北九州,佐賀,長崎,福江,壱岐,対馬,熊本,天草,大分,宮崎,鹿児島,種子島,屋久島,奄美,喜界島,沖永良部,与論,徳之島,那覇,南大東島,久米島,宮古島,石垣,与那国,多良間,北大東島,波照間,粟国,下地島,慶良間
貨物量合計,557233404,6077,312106,622997,987475,236,1242919,1067,479,243866,1606,65096571,2339,368087,158629,12088,717008,266809,53474,11,164313,3791,493021,231948744,8133,4293,144989,5291,11941,713,0,0,0,25929,97191,489903,351,0,2387,5827045,43436852,4208072,0,9,5889,65269,239794,811,139634,227,1330590,2642315,567287,54284,376868,871411,808997,340035,52171416,747334,3349,1830985,25305,313,29362,3589836,36,990190,1355521,2979745,84142,35912,325747,77051,59852,36973,107887,108802277,186321,637604,8572424,9346120,511752,212542,103185,0,0,0,0
稚内,60602,,,,,,,,,,,638,,,,,,,,,,,,59964,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
釧路,1173918,,,,,,,,,,,18188,349,,,,,,,,,,,1155381,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
函館,2726302,,,,,,,,,,1334,437,1417,,,,,,,,,,,2387801,,,,,,,,,,,,,,,,97149,238164,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
旭川,2839606,,,,,,,,,,,,,,,,,,,,,,,2835603,,,,,,,,,,,,,,,,4003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
利尻,419,,,,,,,,,,,419,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
帯広,632799,,,,,,,,,,,,,,,,,,,,,,,632785,,,,,,,,,,,,,,,,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
中標津,145646,,,,,,,,,,,15141,,,,,,,,,,,,130505,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
紋別,2641,,,,,,,,,,,,,,,,,,,,,,,2641,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
女満別,710313,,,,,,,,,,,40731,104,,,,,,,,,,,661858,,,,,,,,,,,,,,,,1172,6448,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
奥尻,2730,,,2458,,,,,,,,,272,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
